SKU;Nome do produto;Categoria;Subcategoria;Descricao curta;Descricao completa;Unidade de venda;Qtd por embalagem;Marca;URL da imagem;Status;Estoque;Tem Variacao
9021000;Cha Diversos Sabores C/10 Saquinhos;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Unidade;1;Marata;;Inativo;0;SIM
1;Teste;Outros;Outros;Produto profissional;;Unidade;1;;;Ativo;5;NAO
160001;Frango A Passarinho Congelado;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160002;Hamburguer De Carne Bovino;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160003;Carne Salgada, Tipo Charque;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160004;Linguiça Toscana;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160005;Linguiça Calabresa;Alimentos - Bebidas e Mercearia;Mercearia Geral;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160006;Queijo Mussarela;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto profissional;;Unidade;1;;;Inativo;0;NAO
160007;Lasanha De Frango Congelada 600g;Alimentos - Frios e Proteínas;Carnes e Embutidos;Produto profissional;;Embalagem (600G);1;;;Inativo;0;NAO
160008;Feijao Branco;Alimentos - Bebidas e Mercearia;Grãos e Massas;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160009;Feijao Fradinho;Alimentos - Bebidas e Mercearia;Grãos e Massas;Produto a granel, medido em KG;;Unidade;1;;;Inativo;0;NAO
160010;Queijo Catupiry Bisnaga De 1,8kg;Alimentos - Frios e Proteínas;Frios e Laticínios;Produto profissional;;Embalagem (1,8Kg);1;;;Inativo;0;NAO
