SKU Variacao;SKU Pai;Nome do produto;Categoria;Subcategoria;Descricao curta;Descricao completa;Unidade de venda;Qtd por embalagem;Marca;URL da imagem;Status;Estoque
09021000/1;09021000;Cha Diversos Sabores C/10 Saquinhos;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Unidade;1;Marata;;Inativo;0
09021000/2;09021000;Cha Erva-doce C/10 Saquinhos;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Unidade;1;Marata;;Inativo;0
09021000/3;09021000;Cha Cidreira C/10 Saquinhos;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Unidade;1;Marata;;Inativo;0
32151900/1;32151900;Tinta P/carimbo Azul 40ml;Material de Escritório;Escritório;Produto profissional;;Frasco (40ml);1;Japan;;Ativo;11
34022000/01;34022000;Sabao Em Pó (primavera) Sache 800 Gr;Produtos de Limpeza;Limpeza Geral;Produto profissional;;Embalagem (800Gr);1;Tixan Ype;;Ativo;71
35061010/1;35061010;Cola Em Bastao 10g;Material de Escritório;Escritório;Produto profissional;;Embalagem (10G);1;Leo&Leo;;Ativo;1
35061090/1;35061090;Cola Branca 90g;Material de Escritório;Escritório;Produto profissional;;Embalagem (90G);1;Frama;;Inativo;0
38089419/01;38089419;Tabletao Pace 200gr;Produtos de Limpeza;Limpeza Geral;Produto profissional;;Embalagem (200Gr);1;Hth;;Inativo;0
38089419/02;38089419;Pace Tripla Açao 200g;Produtos de Limpeza;Limpeza Geral;Produto profissional;;Embalagem (200G);1;Hth;;Inativo;0
38249029/1;38249029;Corretivo Liq 18ml;Material de Escritório;Escritório;Produto profissional;;Frasco (18ml);1;Frama;;Ativo;14
39191000/1;39191000;Fita Durex Transp. 12mmx20mt;Outros;Outros;Produto profissional;;Unidade;1;Axe;;Ativo;3
39191000/2;39191000;Fita P/emb Transp. 45mmx40mt;Outros;Outros;Produto profissional;;Unidade;1;Koretc;;Ativo;12
