Código;Descrição;Medida;LEVER;UPGRADE;Unificado;Observação
1;TESTE;;-5;10;5;
9021000;CHA HORTELA C/10 SAQUINHOS - MARATA;UN;0;0;0;
09021000/1;CHA DIVERSOS SABORES C/10 SAQUINHOS - MARATA;UN;-198;-152;-350;
09021000/2;CHA CAMOMILA C/10 SAQUINHOS - MARATA;UN;0;N;0;Descrição do produto está diferente.
09021000/2;CHA ERVA-DOCE C/10 SAQUINHOS - MARATA;UN;N;0;0;Descrição do produto está diferente.
09021000/3;CHA CIDREIRA C/10 SAQUINHOS - MARATA;UN;0;N;0;Descrição do produto está diferente.
09021000/3;CHA GENGIBRE C/10 SAQUINHOS - MARATA;UN;N;0;0;Descrição do produto está diferente.
160001;FRANGO A PASSARINHO CONGELADO;KG;-700;0;-700;
160002;HAMBURGUER DE CARNE BOVINO;KG;-256,91;0;-256,91;
160003;CARNE SALGADA, TIPO CHARQUE;KG;-2301;N;-2301;Descrição do produto está diferente.
160003;CHARQUE EMBALADO A VACUO;KG;N;0;0;Descrição do produto está diferente.
160004;LINGUIÇA TOSCANA;UN;-1994;0;-1994;
160005;LINGUIÇA CALABRESA;UN;-729;0;-729;
160006;QUEIJO MUSSARELA;UN;-82,23;0;-82,23;
160007;LASANHA DE FRANGO CONGELADA 600G;UN;-40;0;-40;
160008;FEIJAO BRANCO;KG;0;0;0;
160009;FEIJAO FRADINHO;KG;-31;0;-31;
160010;QUEIJO CATUPIRY BISNAGA DE 1,8KG;UN;0;0;0;
160011;QUEIJO PROVOLONE;UN;-58;0;-58;
160012;AZEITONA VERDE SEM CAROÇO;UN;N;0;0;Descrição do produto está diferente.
160012;AZEITONA VERDE SEM CAROÇO 2,0 KG;UN;-16;N;-16;Descrição do produto está diferente.
160012-69;AZEITONA VERDE SEM CAROCO EMB.C/2KG DRENADO;UN;-5;0;-5;
160013;AZEITE DE DENDE 500ML;UN;N;0;0;Descrição do produto está diferente.
160013;AZEITE LISBOA 500ML;UN;-28;N;-28;Descrição do produto está diferente.
160014;CATCHUP DE TOMATE , 1KG;UN;0;0;0;
160015;MOSTARDA EMB 01KG;CX;0;0;0;
160016;CREME TIPO CHANTILLY TETRAPACK;UN;0;0;0;
160017;SUCO EM LATA DE 350ML DIV.SABORES;UN;0;0;0;
160018;FARINHA, KG;KG;-10;0;-10;
160019;FUBA DE MILHO 500G;UN;0;0;0;
160020;MASSA FRESCA PARA LASANHA 500G;UN;0;0;0;
160021;POLPA DE FRUTA, ACEROLA;KG;-380;0;-380;
160022;POLPA DE FRUTA, GOIABA;KG;-290;0;-290;
160023;POLPA DE FRUTA, CAJA;KG;-300;0;-300;
160024;POLPA DE FRUTA, MARACUJA;KG;0;0;0;
160025;POLENTA PRONTA KG;KG;0;0;0;
160026;SORVETE, DIVERSOS SABORES, 100ML;UN;0;0;0;
160027;AMENDOIM TORRADO S/CASCA;KG;0;0;0;
160028;CAPPUCCINO TRAD 200G - 3CORAÇOES;UN;0;0;0;
160029;CAPPUCCINO DIET 200G - 3 CORAÇÕES;UN;0;0;0;
160030;LEITE NINHO EM PO 400G - NESTLE;UN;0;0;0;
160032;DOCE EM TABLETE TIPO COCADA;UN;-20054;N;-20054;Descrição do produto está diferente.
160032;DOCE EM TABLETE TIPO COCADA, EMB C/50UN;UN;N;0;0;Descrição do produto está diferente.
160033;AÇUCAR REFINADO KG;KG;0;0;0;
160034;QUEIJO PROCESSADO BLISTERES 18G C/144UN - JR;CX;-4;0;-4;
160035;STEAK DE FRANGO EMPANADO;KG;-223,4;N;-223,4;Não encontrado Código ou Descrição semelhante. 
160036;PERTENCES PARA FEIJOADA EMB 880G;UN;-630;N;-630;Não encontrado Código ou Descrição semelhante. 
160037;OVO DE GALINHA BRANCO EXTRA;DZ;-2345;N;-2345;Não encontrado Código ou Descrição semelhante. 
160038;ABACAXI;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
160039;ALHO;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160040;CENOURA;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160041;COCO SECO;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
160042;GOIABA VERMELHA;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160043;HORTELA, MAÇO;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
160044;LARANJA PERA;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160045;LIMAO;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160046;MAMAO FORMOSA VERDE;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160047;MANGA TOMMY;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160048;MANJERICAO, MAÇO;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
160049;PEPINO;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160050;SAL 2500UN - JR;UN;2;N;2;Não encontrado Código ou Descrição semelhante. 
160051;TOMATE;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160052;BANANA DA TERRA;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160053;DOCE, TIPO QUINDIM 50G;CT;-45;N;-45;Não encontrado Código ou Descrição semelhante. 
160054;BATATA INGLESA;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160055;CANA-DE-AÇUCAR;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
160056;CEBOLA BRANCA;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
160057;CEBOLINHA, MAÇO;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
160058;COXA E SOBRECOXA DE FRANGO;KG;-3417;N;-3417;Não encontrado Código ou Descrição semelhante. 
160059;COSTELA SUINA;KG;-262;N;-262;Não encontrado Código ou Descrição semelhante. 
160060;SALAME, TIPO ITALIANO;KG;-89;N;-89;Não encontrado Código ou Descrição semelhante. 
160061;PEITO DE PERU;KG;-289,76;N;-289,76;Não encontrado Código ou Descrição semelhante. 
160062;PRESUNTO DE PERNIL;KG;-575,5;N;-575,5;Não encontrado Código ou Descrição semelhante. 
160063;MEXILHAO;UN;-71;N;-71;Não encontrado Código ou Descrição semelhante. 
160064;LULA EM ANEL;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
160065;SUCO, SABOR UVA/LARANJA, LT - MARATA;LT;84;N;84;Não encontrado Código ou Descrição semelhante. 
160066;QUEIJO MINAS FRESCAL;KG;27,08;N;27,08;Não encontrado Código ou Descrição semelhante. 
160067;QUEIJO MINAS PADRAO;KG;-90,02;N;-90,02;Não encontrado Código ou Descrição semelhante. 
160068;ATUM RALADO EM OLEO 500G;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
160069;QUEIJO COALHO BARRA 2KG;UN;9,68;N;9,68;Não encontrado Código ou Descrição semelhante. 
160070;BALA, TIPO GOMA, SABOR VARIADO;UN;-1000;N;-1000;Não encontrado Código ou Descrição semelhante. 
160071;CASTANHA, ORIGEM CAJU, TORRADA;KG;-35;N;-35;Não encontrado Código ou Descrição semelhante. 
160072;QUEIJO PARMESAO RALADO 100G;UN;-110;N;-110;Não encontrado Código ou Descrição semelhante. 
190031;AMENDOIM SAQUINHO DE 30G;UN;0;0;0;
200001;ERVILHA 200G;LT;0;0;0;
200002;AÇUCAR CRISTAL KG;KG;-1303;N;-1303;Descrição do produto está diferente.
200002;AÇUCAR KG;KG;N;-927;-927;Descrição do produto está diferente.
200003;BISCOITO MAX GOIABINHA;UN;N;0;0;Descrição do produto está diferente.
200003;BISCOITO MAX GOIABINHA 30G;UN;0;N;0;Descrição do produto está diferente.
200004;BISCOITO MAX CHOCOLATE;UN;0;0;0;
200005;AÇUCAR SACHE CX C/400UN DE 5G - UNIAO;UN;-8;-28;-36;
200006;ADOÇANTE STEVIA 80ML - ADOCYL;UN;-2;-4;-6;
200007;ADOÇANTE SACHE;UN;N;0;0;Descrição do produto está diferente.
200007;ADOÇANTE SUCRALOSE SACHE 400X5G;UN;-4;N;-4;Descrição do produto está diferente.
200009;REFRIGERANTE COCA COLA 2LT;UN;N;0;0;Descrição do produto está diferente.
200009;REFRIGERANTE COCA COLA ZERO 2LT;PCT;0;N;0;Descrição do produto está diferente.
200010;REFRIGERANTE COCA COLA 2,5LT;PCT;0;0;0;
200011;ARROZ BRANCO KG;KG;N;0;0;Descrição do produto está diferente.
200011;ARROZ INTEGRAL KG;KG;-880;N;-880;Descrição do produto está diferente.
200012;VINAGRE 500ML;UN;0;0;0;
200013;AVEIA EM FLOCOS 500G;UN;0;0;0;
200014;BISCOITO MAIZENA 400G;UN;0;0;0;
200015;ESPAGUETE 500G;UN;0;0;0;
200016;DOCE DE GOIABA PCT C/50UN - ALIANÇA;UN;-3;N;-3;Descrição do produto está diferente.
200016;GOIABADA 600G;UN;N;0;0;Descrição do produto está diferente.
200017;LEITE EM PO DESNATADO 200G;UN;N;0;0;Descrição do produto está diferente.
200017;LEITE LIQ INTEGRAL - BETANIA;LT;0;N;0;Descrição do produto está diferente.
200018;SAL REFINADO KG;KG;10;0;10;
200019;FEIJAO CARIOCA KG;KG;0;0;0;
200020;SARDINHA EM LATA MOLHO DE TOMATE;UN;-50;0;-50;
200021;ACHOCOLATADO PO 200G;UN;N;0;0;Descrição do produto está diferente.
200021;ACHOCOLATADO PO 350G - NESCAU;UN;0;N;0;Descrição do produto está diferente.
200022;FLOCOS DE MILHO 500G;UN;0;0;0;
200023;OLEO SOJA PET 900ML;CX;0;0;0;
200024;ADOÇANTE 100ML - ZERO CAL;UN;15;-79;-64;
200025;GELEIA FRUTAS,DIV SAB.BLISTERES 15G, CX C/144 - JR;CX;-8;0;-8;
200026;CEREAL MATINAL 200G;CX;-50;0;-50;
200027;PAO, TIPO FORMA FATIADO 500G;KG;-120;0;-120;
200028;PAO DE COCO S/REC. C/COBERT. DE COCO RALADO 50G;KG;-50;0;-50;
200029;PAO DE QUEIJO CONG, TAM PEQUENO, PCT 400G;PCT;-200;0;-200;
20003;CAFE A VACUO 250G - MARATA;UN;N;-1105;-1105;Descrição do produto está diferente.
20003;CAFE A VACUO TRAD 250G - UNIAO/MARATA;PCT;-545;N;-545;Descrição do produto está diferente.
200030;MINI PAO AUSTRALIANO, CONG.S/RECHEIO 25G;KG;-40;0;-40;
200031;MINI CROISSANT CONG. S/RECHEIO,20G;UN;N;0;0;Descrição do produto está diferente.
200031;PAO TIPO CROISSANT,25G;KG;-525;N;-525;Descrição do produto está diferente.
200032;AZEITONA VERDE FATIADA 1,8KG - MUCHO GUSTO;UN;N;0;0;Descrição do produto está diferente.
200032;AZEITONA VERDE FATIADA 2,0 KG;UN;-8;N;-8;Descrição do produto está diferente.
200033;MOLHO SHOYO GOTA VD 150ML;UN;0;0;0;
200034;AGUA MINERAL SEM GAS 500ML PCT C/12;PCT;N;0;0;Descrição do produto está diferente.
200034;AGUA MINERAL SEM GAS, GARRAFA 1,5L - DIASDAVILA;PCT;-10319;N;-10319;Descrição do produto está diferente.
200035;REFRIGERANTE EM LATA 350ML DIV.SABORES;UN;0;0;0;
200036;REFRIGERANTE GUARANA 2LT;PCT;0;N;0;Descrição do produto está diferente.
200036;REFRIGERANTE GUARANA PET 1,5;UN;N;0;0;Descrição do produto está diferente.
200037;REFRIGERANTE LIMAO PET 1,5;UN;-12;0;-12;
200038;REFRIGERANTE LARANJA PET 1,5;UN;-12;0;-12;
200039;REFRIGERANTE UVA PET 1,5;UN;0;0;0;
200040;SALGADOS DIVERSOS EMB C/100UN;PCT;-750;N;-750;Descrição do produto está diferente.
200040;SALGADOS DIVERSOS, EMB. C/100UN;PCT;N;0;0;Descrição do produto está diferente.
200041;DOCE EM TABLETE TIPO PE-DE-MOLEQUE, EMB C/50UN;UN;-162;0;-162;
200042;BARRA DE CEREAL DIV SABORES;UN;-2439;0;-2439;
200043;PAO BRIOCHE 25GR, PRE ASSADO E CONGELADO;KG;-195;0;-195;
200044;PAO FRANCES DE SAL 50G PRE ASSADO E CONGELADO;KG;-1417;0;-1417;
200045;PETIT FOUR SALGADO APROX.15G;KG;-30;0;-30;
200046;BASE EM PO PARA PREPARO DE MOLHO BRANCO, 900G;UN;-4;0;-4;
200047;DOCE CHOCOLATE AO LEITE NO MINIMO 25G C/50UNID;UN;0;0;0;
200048;MASSA PARA PASTEL, ROLO COM 500G;UN;-42;0;-42;
200049;SELETA DE LEGUMES EM CONSERVA 200G;UN;-35;0;-35;
200050;PIMENTA TIPO BIQUINHO 190G;UN;N;0;0;Descrição do produto está diferente.
200050;PIMENTA TIPO BIQUINHO 200G;UN;-55;N;-55;Descrição do produto está diferente.
200051;MANTEIGA JR COM SAL 192X10G;CX;0;0;0;
200052;MOLHO BECHAMEL BASE EM PO (6,5KG) PCT 900G;UN;-25;N;-25;Descrição do produto está diferente.
200052;MOLHO DESIDRATADO SBR BECHAMEL 20PCT 500G;UN;N;0;0;Descrição do produto está diferente.
200053;BROCOLIS CONGELADO 300G;UN;-290;0;-290;
200054;PLASTICO BOLHA 1,20X100M;UN;0;0;0;
200055;BOBINA DE PAPEL ONDULADO 1,20M;KG;-11;0;-11;
200056;PAPELAO ONDULADO 60X45X50 FL DUPLA;UN;N;0;0;Descrição do produto está diferente.
200056;PAPELAO ONDULADO 60X45X50 FL DUPLA 760g/m²;UN;0;N;0;Descrição do produto está diferente.
200057;MANTEIGA C/SAL 500G - OURO BOM;UN;1;N;1;Descrição do produto está diferente.
200057;MANTEIGA C/SAL, BLISTERES 10G, CX C/192 - JR;UN;N;0;0;Descrição do produto está diferente.
200058;MANTEIGA S/SAL, BLISTERES 10G, CX C/192 - JR;UN;0;0;0;
200059;MEL, BLISTERES 15G CX C/144UN;UN;0;0;0;
200060;AÇUCAR SACHE 4G 400UNID - MARATÁ;CX;-19;N;-19;Descrição do produto está diferente.
200060;AÇUCAR SACHE 5G 996UNID - GUARANY;CX;N;0;0;Descrição do produto está diferente.
200061;AÇUCAR MASCAVO , SACHE 6G CX C/250 UNID - JR;CX;N;0;0;Descrição do produto está diferente.
200061;AÇUCAR MASCAVO, SACHE 6G CX C/250 UNID;CX;-6;N;-6;Descrição do produto está diferente.
200062;ADOÇANTE DIET, SACHE 8G, CX C/1000 UNID - JR;UN;-2;0;-2;
200064;IOGURTE ACTIVIA PLACA C/08UNID 200G;UN;-6;0;-6;
200065;PRESUNTO COZIDO;KG;-654,75;N;-654,75;Descrição do produto está diferente.
200065;PRESUNTO REZENDE;KG;N;0;0;Descrição do produto está diferente.
200066;MARGARINA DELINE SADIA BALDE 3KG;BD;-7;0;-7;
200067;TAPIOCA;KG;0;0;0;
200068;PREGO SEM CABEÇA EM AÇO CARBONO BITOLA 10X10;KG;0;0;0;
200069;PREGO C/ CABEÇA, AÇO CARBONO, BITOLA 13X18;KG;0;0;0;
200070;CAMARAO ENCAPOTADO NA TAPIOCA;UN;-200;N;-200;Não encontrado Código ou Descrição semelhante. 
200071;PAPELAO ONDULADO 47X47X40 FL DUPLA 760g/m²;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
200072;TORTA CONFEITADA;KG;-516;N;-516;Não encontrado Código ou Descrição semelhante. 
200073;AGUA MINERAL 500ML C/G;PC;-700;N;-700;Não encontrado Código ou Descrição semelhante. 
200074;MOLHO INGLES PET 900ML;UN;-28;N;-28;Não encontrado Código ou Descrição semelhante. 
200075;MACARRAO PENNE 500G;UN;-44;N;-44;Não encontrado Código ou Descrição semelhante. 
200076;TRIGO P/KIBE 500G;UN;-49;N;-49;Não encontrado Código ou Descrição semelhante. 
200077;EXTRATO TOMATE;KG;-5604;N;-5604;Não encontrado Código ou Descrição semelhante. 
200078;MOLHO DESID DEMI-GLACE (4,5KG) - PCT 900G;UN;-30,222;N;-30,222;Não encontrado Código ou Descrição semelhante. 
200079;MOLHO DESIDRATADO DEMI-GLACE;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
20008;REFRIGERANTE, GUARANA DIETETICO PET 1,5LT;UN;N;0;0;Descrição do produto está diferente.
20008;REFRIGERANTE, GUARANA ZERO 2LT;PCT;0;N;0;Descrição do produto está diferente.
200080;CALDO DE CARNE PO 1,0 KG;KG;-16;N;-16;Não encontrado Código ou Descrição semelhante. 
200081;COGUMELO CHAMPIGNON 2,0 KG;UN;-6;N;-6;Não encontrado Código ou Descrição semelhante. 
200082;COGUMELO CHAMPIGNON INTEIRO 2,0 KG;UN;0;N;0;Não encontrado Código ou Descrição semelhante. 
200083;QUEIJO GORGONZOLA;KG;-299,3497;N;-299,3497;Não encontrado Código ou Descrição semelhante. 
200084;SHRINK TRANSPARENTE (FORTLINE);KG;-60;N;-60;Não encontrado Código ou Descrição semelhante. 
200085;BOBINA PAPEL RECIC 90G KRAFT 120X30 - SANTEX;PC;0;N;0;Não encontrado Código ou Descrição semelhante. 
200086;PEIXE BACALHAU;KG;-14;N;-14;Não encontrado Código ou Descrição semelhante. 
200087;AGUA MINERAL 500ML S/G;UN;-4333;N;-4333;Não encontrado Código ou Descrição semelhante. 
200088;MACARRAO, TIPO SEMOLA, TALHARIM 500G;UN;-140;N;-140;Não encontrado Código ou Descrição semelhante. 
200089;PIMENTA DO REINO EM PO C/40G;UN;-15;N;-15;Não encontrado Código ou Descrição semelhante. 
200090;PIMENTA DO REINO EM PO, KG;KG;-26;N;-26;Não encontrado Código ou Descrição semelhante. 
200091;VINAGRE BALSAMICO 500ML;UN;-118;N;-118;Não encontrado Código ou Descrição semelhante. 
200092;FRUTA EM CALDA, GOIABA 400G;UN;-4;N;-4;Não encontrado Código ou Descrição semelhante. 
200093;RICOTA FRESCA;KG;-297,91;N;-297,91;Não encontrado Código ou Descrição semelhante. 
200094;CESTA BASICA GEN ALIM MONTADAS C/SACOS REFORÇADOS;UN;-33;N;-33;Não encontrado Código ou Descrição semelhante. 
200095;AÇUCAR DEMERARA SACHE;CX;0;N;0;Não encontrado Código ou Descrição semelhante. 
200096;BACON;KG;0;N;0;Não encontrado Código ou Descrição semelhante. 
20029090;EXTRATO TOMATE BONARE SACHE 6X2KG - GOIAS VERDE;CX;N;0;0;Descrição do produto está diferente.
20029090;EXTRATO TOMATE SACHE 2KG;UN;-530;N;-530;Descrição do produto está diferente.
20058000;MILHO VERDE LT 6X2KG - GOIAS VERDE;CX;0;0;0;
210001;MAIONESE 3KG;BL;0;0;0;
210011;ELIMINADOR DE OLEOSIDADE 1LT - HTH;UN;0;0;0;
220001;ALCOOL 70, 05LT - MEYORS;UN;-1688;-1511;-3199;
220002;ALCOOL GEL 500ML - SAFRA/DERMASOFT;UN;N;-236;-236;Descrição do produto está diferente.
220002;ALCOOL LIQ 46 LT - FLAMAGEL;LT;-398;N;-398;Descrição do produto está diferente.
220003;ALCOOL 70º LT;UN;N;-768;-768;Descrição do produto está diferente.
220003;ALCOOL 70º LT - FLAMAGEL;LT;-6463;N;-6463;Descrição do produto está diferente.
220004;ALCOOL GEL BARRICA 13KG - FLAMAGEL;UN;-38;N;-38;Descrição do produto está diferente.
220004;ALCOOL GEL BARRICA P/QUEIMA 15LT,13KG - FLAMAGEL;UN;N;-8;-8;Descrição do produto está diferente.
220005;CAFE A VACUO 250G - MELLITA;UN;N;-775;-775;Descrição do produto está diferente.
220005;CAFE A VACUO TRAD 250G - MELLITA;PCT;-455;N;-455;Descrição do produto está diferente.
220006;CAFE A VACUO 250G EXTRA FORTE - MELLITA;PCT;0;N;0;Não encontrado Código ou Descrição semelhante. 
220007;CAFE EXPRESSO GRAO - PILAO;KG;-317;N;-317;Descrição do produto está diferente.
220007;CAFE TRAD VACUO 250G - BOM JESUS;UN;N;-3;-3;Descrição do produto está diferente.
270001;VASELINA 500ML;UN;-129;N;-129;Descrição do produto está diferente.
270001;VASELINA 500ML - KO;UN;N;0;0;Descrição do produto está diferente.
270002;REMOVEDOR MURIAX - LT;UN;N;-533;-533;Descrição do produto está diferente.
270002;REMOVEDOR MURIAX LT;UN;-1731;N;-1731;Descrição do produto está diferente.
270003;SODA CAUSTICA 300G;UN;4;0;4;
270004;QUEROSENE 500ML - KO;UN;3;0;3;
270005;VASELINA 1000ML - SERLIMQ;UN;-150;-216;-366;
280001;ALUMIN/INFLUX AL LIMPA ALUMINIO, 05LT - INSERT;BB;0;0;0;
280002;LIMPA ALUMINIO 05LT;BB;N;0;0;Descrição do produto está diferente.
280002;LIMPA ALUMINIO 05LT - MMV;BB;-3;N;-3;Descrição do produto está diferente.
280003;CLORO PARA PISCINA (PURIF DE AGUA) BD 10KG - HTH;UN;0;0;0;
280004;CLARIFICANTE MAXFLOC 1LT - HTH;LT;0;0;0;
280005;LIMPA BORDAS 1LT - HTH;LT;0;0;0;
280006;ALGICIDA CHOQUE 1LT - HTH;LT;0;0;0;
280007;ALGICIDA MANUTENÇAO (PREVINE AGUA VDE) 1LT - HTH;LT;0;0;0;
