ID	Nome do Produto	Categoria Atual	Subcategoria 1	Subcategoria 2				
p-1	Adoçante Líquido Sacarina Zero Cal Frasco 100ml	copa	copa-3					
p-2	ALCOOL LÍQUIDO 70º INPM LT	limpeza	limpeza-1	limpeza-2				
p-3	Armação Mop Pó 40cm, 60cm e 80cm bralimpia	limpeza	limpeza-11					
p-4	Aromatizador de Odores 1L Aroma de Eucalipto	limpeza	limpeza-4					
p-5	Aromatizante de Ambiente 5L mercotech	limpeza	limpeza-4					
p-6	Aromatizante de Ambientes Fragrância Capim Limão nobre	limpeza	limpeza-4					
p-7	Vassoura Goulart Naylita sem cabo com cerdas verdes	limpeza	limpeza-15					
p-8	Açucar União Sache Caixa 800 Saches De 5g Açucar Uniao	copa	copa-2					
p-9	Açúcar Cristal Agrovale 1Kg	copa	copa-2					
p-11	Balde De Plastico Com Alça De Ferro 7 Litros	limpeza	limpeza-5					
p-12	Balde Doblo 20 – Modelo Flex bralimpia	limpeza	limpeza-5					
p-13	BALDE ESPREMEDOR 12LT bralimpia	limpeza	limpeza-5					
p-15	BALDE PLÁSTICO 15LT E 20LT	limpeza	limpeza-1	limpeza-5				
p-16	Balde Zig Zag Bettanin Super 14l Com Espremedor	limpeza	limpeza-5					
p-17	Bobina Saco Plástico	descartaveis	descartaveis-8					
p-18	BOLSA DE VINIL PARA CARRO FUNCIONAL BRALIMPIA	limpeza	limpeza-3					
p-19	Bom Ar Spray Automático Refil 250ml Aroma Lavanda Algodão	limpeza	limpeza-4					
p-20	BRILHA INOX 300ML levuse	limpeza	limpeza-1					
p-21	BRILHA INOX 400ML SCOTH BRITE	limpeza	limpeza-1					
p-22	CABO ALUMÍNIO 1,4mt bralimpia	limpeza	limpeza-6					
p-23	Cabo de Alumínio Universal 22mm 1,50 rodos 2000	limpeza	limpeza-3					
p-24	Cabo de Alumíno de 1,5mt rodos 2000	limpeza	limpeza-14					
p-25	Café Maratá Tradicional Torrado e Moído 250 g	copa	copa-1					
p-26	Café Melitta Tradicional Torrado e Moído em embalagem de 250g	copa	copa-1					
p-27	Café Torrado e Moído Tradicional União 250 g	copa	copa-1					
p-28	Carrinho De Limpeza Balde Espremedor Doblô 30 Lts Bralimpia	limpeza	limpeza-3	limpeza-5				
p-29	Carrinho de Limpeza Bralimpia Doblô 20L Flex Amarelo	limpeza	limpeza-5					
p-30	CONJ MOP GIRATORIO COMPACT 9L CCESTO PLASTICO nobre	limpeza	limpeza-11					
p-31	CONTENTOR 120LT E 240LT MODELO EUROPEU AZUL nobre	limpeza	limpeza-10					
p-32	CONTENTOR 120LT E 240LT MODELO EUROPEU VERDE nobre	limpeza	limpeza-10					
p-33	COPO 80ML	descartaveis	descartaveis-1					
