ID;Nome do Produto;Categoria;Subcategoria 1 (Digite o nome);Subcategoria 2 (Digite o nome, opcional)
p-9;Açúcar Cristal Agrovale 1Kg;copa;Açúcar cristal e Sachê;
p-8;Açucar União Sache Caixa 800 Saches De 5g Açucar Uniao;copa;Açúcar cristal e Sachê;
p-1;Adoçante Líquido Sacarina Zero Cal Frasco 100ml;copa;Adoçante;
p-176;ÁLCOOL GEL 05LT;limpeza;Itens de Casa;Higiene Pessoal
p-2;ALCOOL LÍQUIDO 70º INPM LT;limpeza;Itens de Casa;Higiene Pessoal
p-3;Armação Mop Pó 40cm, 60cm e 80cm bralimpia;limpeza;Mop´s;
p-4;Aromatizador de Odores 1L Aroma de Eucalipto;limpeza;Itens de Casa;Aromatizadores e Neutralizadores
p-5;Aromatizante de Ambiente 5L mercotech;limpeza;Aromatizadores e Neutralizadores;Aromatizadores e Neutralizadores
p-6;Aromatizante de Ambientes Fragrância Capim Limão nobre;limpeza;Itens de Casa;Aromatizadores e Neutralizadores
p-10;Balde De Plastico Com Alça De Ferro 7 Litros;limpeza;Baldes;Itens de Casa
p-11;Balde De Plastico Com Alça De Ferro 7 Litros;limpeza;Baldes;
p-12;Balde Doblo 20 – Modelo Flex bralimpia;limpeza;Baldes;
p-13;BALDE ESPREMEDOR 12LT bralimpia;limpeza;Baldes;
p-15;BALDE PLÁSTICO 15LT E 20LT;limpeza;Itens de Casa;Baldes
p-14;Balde Zig Zag Bettanin Super 14l Com Espremedor;limpeza;Baldes;
p-16;Balde Zig Zag Bettanin Super 14l Com Espremedor;limpeza;Baldes;
p-17;Bobina Saco Plástico;descartaveis;Bobina Picotada;
p-18;BOLSA DE VINIL PARA CARRO FUNCIONAL BRALIMPIA;limpeza;Equipamentos;
p-19;Bom Ar Spray Automático Refil 250ml Aroma Lavanda Algodão;limpeza;Aromatizadores e Neutralizadores;
p-20;BRILHA INOX 300ML levuse;limpeza;Itens de Casa;
p-21;BRILHA INOX 400ML SCOTH BRITE;limpeza;Itens de Casa;
p-22;CABO ALUMÍNIO 1,4mt bralimpia;limpeza;Cabos e Extensores;
p-23;Cabo de Alumínio Universal 22mm 1,50 rodos 2000;limpeza;Cabos e Extensores;
p-24;Cabo de Alumíno de 1,5mt rodos 2000;limpeza;Cabos e Extensores;
p-25;Café Maratá Tradicional Torrado e Moído 250 g;copa;Café;
p-26;Café Melitta Tradicional Torrado e Moído em embalagem de 250g;copa;Café;
p-27;Café Torrado e Moído Tradicional União 250 g;copa;Café;
p-28;Carrinho De Limpeza Balde Espremedor Doblô 30 Lts Bralimpia;limpeza;Equipamentos;Baldes
p-29;Carrinho de Limpeza Bralimpia Doblô 20L Flex Amarelo;limpeza;Baldes;Equipamentos
p-75;Cheirinho Desinfetante Perfumado 90ml Atol;limpeza;Aromatizadores e Neutralizadores;
p-30;CONJ MOP GIRATORIO COMPACT 9L CCESTO PLASTICO nobre;limpeza;Mop´s;
p-31;CONTENTOR 120LT E 240LT MODELO EUROPEU AZUL nobre;limpeza;Lixeiras e Contentores;
p-32;CONTENTOR 120LT E 240LT MODELO EUROPEU VERDE nobre;limpeza;Lixeiras e Contentores;
p-33;COPO 80ML;descartaveis;Copos;
p-34;COPO DESC 200ML POLIPROP,(PP) TRANSP. E BRANCO;descartaveis;Copos;
p-35;COPO DESC 50 ML PP COM 100 UN;descartaveis;Copos;
p-36;Detergente Sanitário Pastilha Adesiva Lavanda Pato Caixa 3 Unidades;limpeza;Aromatizadores e Neutralizadores;
p-37;DISCO BRANCO DE 35, 41 E 51CM superpro;limpeza;Fibras e Discos;
p-38;DISCO PRETO DE 35, 41 E 51CM superpro;limpeza;Fibras e Discos;
p-39;DISCO VERDE 35, 41 E 51CM superpro;limpeza;Fibras e Discos;
p-40;Dispenser Dropy fortcom;limpeza;Equipamentos;
p-41;Dispenser Linha Infinity fortcom;limpeza;Equipamentos;
p-42;Dispenser Linha Nobre;limpeza;Equipamentos;
p-43;Dispenser Poupador de Copos Descartáveis;limpeza;Equipamentos;
p-44;Escova Aço Base Plástica 3 Fileiras Cerdas Aço;limpeza;Escovas;
p-45;Escova de Aço Manual 4 Fileiras com Cabo de Madeira;limpeza;Equipamentos;Escovas
p-46;Escova De Madeira Oval;limpeza;Escovas;
p-47;Escova lavatina;limpeza;Escovas;
p-48;Escova Multiuso Esfregona Bettanin Superpro Cerdas Firmes;limpeza;Escovas;
p-49;ESCOVA NYLON MULTIUSO CABO PARA CANTOS superpro;limpeza;Escovas;
p-50;ESCOVA NYLON MULTIUSO OVAL;limpeza;Itens de Casa;Escovas
p-52;Escova sanitária com suporte;limpeza;Itens de Casa;Escovas
p-53;Escova sanitária de nylon;limpeza;Itens de Casa;Escovas
p-54;Escova sanitária de piaçava;limpeza;Itens de Casa;Escovas
p-51;Escova Sanitaria Vaso Sanitario Com Suporte Limpa Banheiro;limpeza;Itens de Casa;Escovas
p-55;Escova Valentina Para Limpeza Vaso Sanitário;limpeza;Itens de Casa;Escovas
p-56;Esfregão Mop Refil Úmido Algodão Limpeza Chão Branco Rosca;limpeza;Mop´s;
p-57;ESPANADOR DE PENA;limpeza;Fibras e Discos;
p-60;ESPONJA DUPLA FACE;limpeza;Itens de Casa;
p-58;ESPONJA DUPLA FACE TEFLON AZUL superpro;limpeza;Itens de Casa;
p-59;Esponja dupla face vermelha e Branca superpro;limpeza;Itens de Casa;
p-61;ESPONJA MACIA MULTIUSO superpro;limpeza;Itens de Casa;
p-62;Essência de Eucalipto Concentrado para Sauna;limpeza;Aromatizadores e Neutralizadores;
p-63;FIBRA LIMPEZA 102X230mm LEVE AZUL superpro;limpeza;Fibras e Discos;
p-64;FIBRA LIMPEZA 102X260mm LEVE BRANCA superpro;limpeza;Fibras e Discos;
p-65;FIBRA LIMPEZA 102X260mm PESADA VERDE superpro;limpeza;Fibras e Discos;
p-66;FIBRA PARA LIMPEZA BETTAÇO superpro;limpeza;Fibras e Discos;
p-67;FILME PVC 28X300MT - LISAFILM;copa;Filme PVC;
p-68;FILME PVC 38 X 400MT;copa;Filme PVC;
p-69;FILME PVC BOB 28X30MT;copa;Filme PVC;
p-70;Filtro de Papel Melitta Grande N.102 com 30 unid;copa;Filtro de papel 102 e 103;
p-71;Filtro de Papel Melitta Grande N.103 com 30 unid;copa;Filtro de papel 102 e 103;
p-72;FLANELAS;limpeza;Itens de Casa;Panos e Flanelas
p-73;Fósforo Tradicional Pacote De 10 Caixa Com 40 Fósforos Atacado;limpeza;Fósforo;
p-74;Galão de 5 L de Desinfetante Fragrância de Lavanda;limpeza;Aromatizadores e Neutralizadores;
p-76;Kit Cestos Reciclagem Coleta Seletiva 60L Cores;limpeza;Lixeiras e Contentores;
p-77;Limpa Vidros 500ml;limpeza;Itens de Casa;
p-78;LIMPADOR CLORO ATIVO 500ML VEJA;limpeza;Itens de Casa;
p-79;LIMPADOR LIMPEZA PESADA COM ALCOOL 500ML - VEJA;limpeza;Itens de Casa;
p-80;Limpador Multiuso 500ml Tradicional;limpeza;Itens de Casa;
p-81;LINHA LIMPEZA INDUSTRIAL PRATT INDEBA;limpeza;Itens de Casa;
p-82;LINHA LIMPEZA INDUSTRIAL PRATT INDEBA 2;limpeza;Itens de Casa;
p-83;Linha Limpeza Profissional Industrial mercotech Atacado;limpeza;Itens de Casa;
p-84;LIXEIRA BRANCA 25, 50 E 100LT REFORÇADA COM TAMPA E PEDAL;limpeza;Lixeiras e Contentores;
p-85;Lixeira Cesto Balde Fechado C Tampa 30l Reforçado;limpeza;Lixeiras e Contentores;
p-86;Lixeira Cesto De Lixo Plastico Redondo 12 Litros Sem Tampa Cor Preto;limpeza;Lixeiras e Contentores;
p-87;Lixeira Pedal Branca 14 Litros;limpeza;Lixeiras e Contentores;
p-88;Lixeira Pedal Preta 14 Litros;limpeza;Lixeiras e Contentores;
p-89;Lixeira Pedal Preta 30 Litros;limpeza;Lixeiras e Contentores;
p-90;Lixeira Plástica Branca com Tampa e Alças Laterais;limpeza;Lixeiras e Contentores;
p-91;Lixeira Plástica Preta com Tampa e Alças Laterais;limpeza;Lixeiras e Contentores;
p-92;Lixeira Plástica, 50 Litros, Branca, Basculante;limpeza;Lixeiras e Contentores;
p-93;LIXEIRA PRETA 25, 50 E 100LT COM TAMPA E PEDAL;limpeza;Lixeiras e Contentores;
p-94;LUSTRA MÓVEIS 200ML PEROBA;limpeza;Itens de Casa;
p-95;LUSTRA MÓVEIS 200ML YPË;limpeza;Itens de Casa;
p-96;Luva aplicador de cera bralimpia;limpeza;Luvas;
p-97;LUVA DE ALGODÃO PIGMENTADA VOLK;limpeza;Luvas;
p-98;Luva Látex Laranja Super Reforçada volk;limpeza;Luvas;
p-99;Luva Látex ranhurada cano longo volk;limpeza;Luvas;
p-100;LUVA PLÁSTICA DESCARTÁVEL nobre;limpeza;Luvas;
p-101;Luva Verniz reforçada Amarela volk;limpeza;Luvas;
p-102;Luva Verniz reforçada Verde volk;limpeza;Luvas;
p-103;Luvas Látex Multiuso Amarela volk;copa;Luvas;
p-104;Luvas Látex Multiuso Azul volk;limpeza;Luvas;
p-110;MÃO MECÂNICA ALUMÍNIO 75cm Azul bralimpia;limpeza;Equipamentos;
p-109;Máscara TNT descartável volk;limpeza;Higiene Pessoal;
p-105;MEXEDOR PARA CAFÉ;limpeza;Mexedor;
p-106;Mop PÓ Refis e Armações de 40 a 120 cm bralimpia;limpeza;Mop´s;
p-107;MOP ÚMIDO PONTA DOBRADA 340g nobre;limpeza;Mop´s;
p-108;MULTIUSO 500ML VEJA;limpeza;Itens de Casa;
p-111;Naftalina em Bolinhas 30g oriental;limpeza;Itens de Casa;Aromatizadores e Neutralizadores
p-112;Neutralizador de odores eucalipto Lt;limpeza;Itens de Casa;Aromatizadores e Neutralizadores
p-113;Odorizador de Ambientes Lev&Uze 400ml;limpeza;Aromatizadores e Neutralizadores;
p-114;ORGANIZADOR PARA VASSOURAS 6 LUGARES AZUL bralimpia;limpeza;Equipamentos;
p-135;PÁ COLETORA COM CABO JEITOSA superpro;limpeza;Equipamentos;
p-136;PÁ COLETORA COM TAMPA E CABO ARTICULADA superpro;limpeza;Equipamentos;
p-137;Pá comum com cabo longo;limpeza;Itens de Casa;
p-138;Pá para lixo sem cabo;limpeza;Itens de Casa;
p-115;PANO DE COPA COM ESTAMPA;copa;Pano de copa;
p-116;PANO DE COPA SEM ESTAMPA;copa;Pano de copa;
p-117;PANO MICROFIBRA KIT C2 UN AZUL;limpeza;Panos e Flanelas;
p-118;PANO MULT PICOT RL 28CMX30MT nobre;limpeza;Panos e Flanelas;
p-119;PANO MULT PICOTADO RL 28CMX300MT nobre;limpeza;Panos e Flanelas;
p-120;PANO MULTIUSO 5un nobre;limpeza;Panos e Flanelas;
